symbol,action
BSE,ADD
BANKINDIA,ADD
BOL,ADD
BLUESTARCO,ADD
CGPOWER,ADD
CANBK,ADD
CDSL,ADD
COFORGE,ADD
CAMS,ADD
CYIENT,ADD
DALBHARAT,ADD
DELHIVERY,ADD
DIXON,ADD
ETERNAL,ADD
NYKAA,ADD
FORTIS,ADD
GMRAIRPORT,ADD
HFCL,ADD
HINDZINC,ADD
POWERINDIA,ADD
HUDCO,ADD
IFL,ADD
INDIANB,ADD
IEX,ADD
IOC,ADD
IRCTC,ADD
IRFC,ADD
IREDA,ADD
INDUSTOWER,ADD
INOXWIND,ADD
JSWENERGY,ADD
JIOFIN,ADD
KEL,ADD
KPITTECH,ADD
KALYANKJIL,ADD
KAYNES,ADD
KFINTECH,ADD
LTF,ADD
LAURUSLABS,ADD
LICI,ADD
LODHA,ADD
MANAPPURAM,ADD
MANKIND,ADD
MARICO,ADD
MAXHEALTH,ADD
MAZDOCK,ADD
MCX,ADD
NBCC,ADD
NCC,ADD
NHPC,ADD
NATIONALUM,ADD
NUVAMA,ADD
OBEROIRLTY,ADD
OIL,ADD
PAYTM,ADD
OFSS,ADD
POLICYBZR,ADD
PGEL,ADD
PIND,ADD
PNBHOUSING,ADD
PATANJALI,ADD
PERSISTENT,ADD
PPLPHARMA,ADD
PFC,ADD
PRESTIGE,ADD
RECLTD,ADD
RVNL,ADD
SBICARD,ADD
SAMMAANCAP,ADD
SHRIRAMFIN,ADD
SOLARINDS,ADD
SONACOMS,ADD
SUPREMEIND,ADD
SUZLON,ADD
SYNGENE,ADD
TITAGARH,ADD
TVSMOTOR,ADD
TATAELXSI,ADD
TMPV,ADD
TATATECH,ADD
INDHOTEL,ADD
PHOENIXLTD,ADD
TORNTPOWER,ADD
TIINDIA,ADD
UNOMINDA,ADD
UNIONBANK,ADD
UNITDSPR,ADD
VBL,ADD
IDEA,ADD