symbol,margin,safety_margin,action
ADANIPOWER,0,35,REVIEW
ADANITRANS,0,8,REVIEW
APLLTD,0,20,REVIEW
ATUL,0,15,REVIEW
BALRAMCHIN,0,15,REVIEW
BATAINDIA,0,13,REVIEW
BERGEPAINT,0,15,REVIEW
CADILAHC,0,8,REVIEW
ESCORTS,0,20,REVIEW
HINDCOPPER,0,25,REVIEW
IBULHSGFIN,0,7,REVIEW
IDBI,0,20,REVIEW
LALPATHLAB,0,20,REVIEW
MCDOWELL-N,0,7,REVIEW
MINDTREE,0,7,REVIEW
MRF,0,13,REVIEW
PEL,0,19,REVIEW
PVR,0,8,REVIEW
STAR,0,20,REVIEW
TATACHEM,0,20,REVIEW
TATAMOTORS,0,15,REVIEW
TVSMOTORS,0,8,REVIEW
UBL,0,12,REVIEW
WHIRLPOOL,0,20,REVIEW
ZEEL,0,35,REVIEW